 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   47.5000000       7.58667826E-04   2.24133395E-03   3.00000189E-03
   47.6000023       7.57202914E-04   2.24279892E-03   3.00000189E-03
   47.7000008       7.55742309E-04   2.24425946E-03   3.00000189E-03
   47.7999992       7.54286011E-04   2.24571582E-03   3.00000189E-03
   47.9000015       7.52833963E-04   2.24716775E-03   3.00000166E-03
   48.0000000       7.51386164E-04   2.24861549E-03   3.00000166E-03
   48.1000023       7.49942614E-04   2.25005904E-03   3.00000166E-03
   48.2000008       7.48503313E-04   2.25149840E-03   3.00000166E-03
   48.2999992       7.47068203E-04   2.25293357E-03   3.00000189E-03
   48.4000015       7.45637284E-04   2.25436455E-03   3.00000189E-03
   48.5000000       7.44210556E-04   2.25579133E-03   3.00000189E-03
   48.6000023       7.42787961E-04   2.25721393E-03   3.00000189E-03
   48.7000008       7.41369498E-04   2.25863233E-03   3.00000189E-03
   48.7999992       7.39955169E-04   2.26004678E-03   3.00000189E-03
   48.9000015       7.38544913E-04   2.26145703E-03   3.00000189E-03
   49.0000000       7.37138733E-04   2.26286310E-03   3.00000189E-03
   49.1000023       7.35736627E-04   2.26426520E-03   3.00000189E-03
   49.2000008       7.34338595E-04   2.26566335E-03   3.00000189E-03
   49.2999992       7.32944580E-04   2.26705731E-03   3.00000189E-03
   49.4000015       7.31554581E-04   2.26844731E-03   3.00000189E-03
   49.5000000       7.30168540E-04   2.26983335E-03   3.00000189E-03
   49.6000023       7.28786516E-04   2.27121543E-03   3.00000189E-03
   49.7000008       7.27408449E-04   2.27259356E-03   3.00000189E-03
   49.7999992       7.26034341E-04   2.27396772E-03   3.00000212E-03
   49.9000015       7.24664133E-04   2.27533793E-03   3.00000212E-03
   50.0000000       7.23297882E-04   2.27670418E-03   3.00000212E-03
   50.1000023       7.21935532E-04   2.27806647E-03   3.00000189E-03
   50.2000008       7.20577023E-04   2.27942504E-03   3.00000212E-03
   50.2999992       7.19222415E-04   2.28077965E-03   3.00000212E-03
   50.4000015       7.17871648E-04   2.28213053E-03   3.00000212E-03
   50.5000000       7.16524723E-04   2.28347746E-03   3.00000212E-03
   50.6000023       7.15181581E-04   2.28482066E-03   3.00000235E-03
   50.7000008       7.13842281E-04   2.28615990E-03   3.00000212E-03
   50.7999992       7.12506764E-04   2.28749542E-03   3.00000212E-03
   50.9000015       7.11174973E-04   2.28882721E-03   3.00000212E-03
   51.0000000       7.09846965E-04   2.29015527E-03   3.00000235E-03
   51.1000023       7.08522683E-04   2.29147961E-03   3.00000235E-03
   51.2000008       7.07202125E-04   2.29280023E-03   3.00000235E-03
   51.2999992       7.05885293E-04   2.29411712E-03   3.00000235E-03
   51.4000015       7.04572187E-04   2.29543028E-03   3.00000235E-03
   51.5000000       7.03262747E-04   2.29673972E-03   3.00000235E-03
   51.6000023       7.01956975E-04   2.29804544E-03   3.00000235E-03
   51.7000008       7.00654811E-04   2.29934766E-03   3.00000235E-03
   51.7999992       6.99356315E-04   2.30064616E-03   3.00000235E-03
   51.9000015       6.98061427E-04   2.30194093E-03   3.00000235E-03
   52.0000000       6.96770148E-04   2.30323221E-03   3.00000235E-03
   52.1000023       6.95482478E-04   2.30451999E-03   3.00000235E-03
   52.2000008       6.94198359E-04   2.30580405E-03   3.00000235E-03
   52.2999992       6.92917791E-04   2.30708462E-03   3.00000235E-03
   52.4000015       6.91640773E-04   2.30836170E-03   3.00000235E-03
   52.5000000       6.90367306E-04   2.30963505E-03   3.00000235E-03
   52.6000023       6.89097389E-04   2.31090491E-03   3.00000235E-03
   52.7000008       6.87830965E-04   2.31217127E-03   3.00000235E-03
   52.7999992       6.86568033E-04   2.31343415E-03   3.00000212E-03
   52.9000015       6.85308594E-04   2.31469353E-03   3.00000212E-03
   53.0000000       6.84052589E-04   2.31594942E-03   3.00000189E-03
   53.1000023       6.82800019E-04   2.31720204E-03   3.00000212E-03
   53.2000008       6.81550940E-04   2.31845118E-03   3.00000212E-03
   53.2999992       6.80305238E-04   2.31969682E-03   3.00000212E-03
   53.4000015       6.79062970E-04   2.32093921E-03   3.00000212E-03
   53.5000000       6.77824079E-04   2.32217810E-03   3.00000212E-03
   53.6000023       6.76588563E-04   2.32341350E-03   3.00000212E-03
   53.7000008       6.75356423E-04   2.32464564E-03   3.00000212E-03
   53.7999992       6.74127659E-04   2.32587452E-03   3.00000212E-03
   53.9000015       6.72902213E-04   2.32709991E-03   3.00000212E-03
   54.0000000       6.71680144E-04   2.32832204E-03   3.00000212E-03
   54.1000023       6.70461392E-04   2.32954090E-03   3.00000235E-03
   54.2000008       6.69245899E-04   2.33075628E-03   3.00000212E-03
   54.2999992       6.68033725E-04   2.33196840E-03   3.00000212E-03
   54.4000015       6.66824810E-04   2.33317725E-03   3.00000212E-03
   54.5000000       6.65619154E-04   2.33438285E-03   3.00000189E-03
   54.6000023       6.64416759E-04   2.33558519E-03   3.00000189E-03
   54.7000008       6.63217623E-04   2.33678427E-03   3.00000189E-03
   54.7999992       6.62021688E-04   2.33798008E-03   3.00000189E-03
   54.9000015       6.60829013E-04   2.33917288E-03   3.00000189E-03
   55.0000000       6.59639540E-04   2.34036241E-03   3.00000189E-03
   55.1000023       6.58453209E-04   2.34154868E-03   3.00000189E-03
   55.2000008       6.57270080E-04   2.34273192E-03   3.00000189E-03
   55.2999992       6.56090095E-04   2.34391191E-03   3.00000189E-03
   55.4000015       6.54913252E-04   2.34508864E-03   3.00000189E-03
   55.5000000       6.53739553E-04   2.34626234E-03   3.00000189E-03
   55.6000023       6.52568997E-04   2.34743278E-03   3.00000189E-03
   55.7000008       6.51401584E-04   2.34860019E-03   3.00000189E-03
   55.7999992       6.50237256E-04   2.34976457E-03   3.00000189E-03
   55.9000015       6.49076013E-04   2.35092570E-03   3.00000166E-03
   56.0000000       6.47917856E-04   2.35208380E-03   3.00000166E-03
   56.1000023       6.46762783E-04   2.35323887E-03   3.00000166E-03
   56.2000008       6.45610737E-04   2.35439092E-03   3.00000166E-03
   56.2999992       6.44461776E-04   2.35553994E-03   3.00000166E-03
   56.4000015       6.43315841E-04   2.35668593E-03   3.00000189E-03
