 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   32.2999992       6.45887991E-03   3.54112079E-03   1.00000007E-02
   32.4000015       6.45751087E-03   3.54248984E-03   1.00000007E-02
   32.5000000       6.45615347E-03   3.54384724E-03   1.00000007E-02
   32.6000023       6.45480771E-03   3.54519277E-03   1.00000007E-02
   32.7000008       6.45347359E-03   3.54652666E-03   9.99999978E-03
   32.7999992       6.45215111E-03   3.54784913E-03   9.99999978E-03
   32.9000015       6.45084027E-03   3.54916020E-03   1.00000007E-02
   33.0000000       6.44954061E-03   3.55045986E-03   1.00000007E-02
   33.1000023       6.44825213E-03   3.55174835E-03   1.00000007E-02
   33.2000008       6.44697482E-03   3.55302566E-03   1.00000007E-02
   33.2999992       6.44570822E-03   3.55429202E-03   9.99999978E-03
   33.4000015       6.44445280E-03   3.55554745E-03   9.99999978E-03
   33.5000000       6.44320808E-03   3.55679216E-03   9.99999978E-03
   33.6000023       6.44197408E-03   3.55802616E-03   9.99999978E-03
   33.7000008       6.44075079E-03   3.55924945E-03   9.99999978E-03
   33.7999992       6.43953774E-03   3.56046227E-03   9.99999978E-03
   33.9000015       6.43833540E-03   3.56166461E-03   9.99999978E-03
   34.0000000       6.43714331E-03   3.56285670E-03   9.99999978E-03
   34.1000023       6.43596146E-03   3.56403855E-03   9.99999978E-03
   34.2000008       6.43478986E-03   3.56521038E-03   9.99999978E-03
   34.2999992       6.43362803E-03   3.56637198E-03   9.99999978E-03
   34.4000015       6.43247645E-03   3.56752379E-03   9.99999978E-03
   34.5000000       6.43133465E-03   3.56866559E-03   9.99999978E-03
   34.6000023       6.43020263E-03   3.56979761E-03   9.99999978E-03
   34.7000008       6.42908039E-03   3.57091986E-03   9.99999978E-03
   34.7999992       6.42796746E-03   3.57203255E-03   9.99999978E-03
   34.9000015       6.42686430E-03   3.57313571E-03   9.99999978E-03
   35.0000000       6.42577047E-03   3.57422954E-03   9.99999978E-03
   35.1000023       6.42468594E-03   3.57531384E-03   9.99999978E-03
   35.2000008       6.42361073E-03   3.57638905E-03   9.99999978E-03
   35.2999992       6.42254483E-03   3.57745495E-03   9.99999978E-03
   35.4000015       6.42148778E-03   3.57851177E-03   9.99999978E-03
   35.5000000       6.42044004E-03   3.57955950E-03   9.99999978E-03
   35.6000023       6.41940115E-03   3.58059839E-03   9.99999978E-03
   35.7000008       6.41837111E-03   3.58162844E-03   9.99999978E-03
   35.7999992       6.41734991E-03   3.58264963E-03   9.99999978E-03
   35.9000015       6.41633756E-03   3.58366221E-03   9.99999978E-03
   36.0000000       6.41533360E-03   3.58466594E-03   9.99999978E-03
   36.1000023       6.41433848E-03   3.58566130E-03   9.99999978E-03
   36.2000008       6.41335174E-03   3.58664803E-03   9.99999978E-03
   36.2999992       6.41237339E-03   3.58762639E-03   9.99999978E-03
   36.4000015       6.41140342E-03   3.58859636E-03   9.99999978E-03
   36.5000000       6.41044183E-03   3.58955818E-03   9.99999978E-03
   36.6000023       6.40948815E-03   3.59051186E-03   9.99999978E-03
   36.7000008       6.40854286E-03   3.59145738E-03   9.99999978E-03
   36.7999992       6.40760548E-03   3.59239476E-03   9.99999978E-03
   36.9000015       6.40667602E-03   3.59332422E-03   9.99999978E-03
   37.0000000       6.40575448E-03   3.59424576E-03   9.99999978E-03
   37.1000023       6.40484085E-03   3.59515939E-03   9.99999978E-03
   37.2000008       6.40393468E-03   3.59606533E-03   9.99999978E-03
