 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   62.9499969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9599991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9699974      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9799995      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9899979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0000000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0099983      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0200005      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0299988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0399971      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0499992      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0599976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0699997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0799980      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0900002      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.0999985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1099968      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1199989      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1299973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1399994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1499977      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1599998      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1699982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1800003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1899986      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.1999969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2099991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2199974      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2299995      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2399979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2500000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2599983      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2700005      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2799988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2899971      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.2999992      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3099976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3199997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3299980      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3400002      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3499985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3599968      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3699989      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3799973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3899994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.3999977      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4099998      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4199982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4300003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4399986      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4499969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4599991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4699974      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4799995      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.4899979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5000000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5099983      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5200005      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5299988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5399971      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5499992      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5599976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5699997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5799980      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5900002      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.5999985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6099968      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6199989      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6299973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6399994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6499977      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6599998      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6699982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6800003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6899986      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.6999969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7099991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7199974      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7299995      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7399979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7500000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7599983      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7700005      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7799988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7899971      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.7999992      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8099976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8199997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8299980      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8400002      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8499985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8599968      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8699989      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8799973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8899994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.8999977      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9099998      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9199982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9300003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9399986      0.494122922       1.01505446       9.08082426E-02   1.59998572    
