 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   34.1000023       2.62963083E-02   3.70368245E-03   2.99999900E-02
   34.2000008       2.62963083E-02   3.70368315E-03   2.99999919E-02
   34.2999992       2.62963083E-02   3.70368385E-03   2.99999919E-02
   34.4000015       2.62963083E-02   3.70368455E-03   2.99999937E-02
   34.5000000       2.62963083E-02   3.70368524E-03   2.99999937E-02
   34.6000023       2.62963083E-02   3.70368594E-03   2.99999937E-02
   34.7000008       2.62963083E-02   3.70368664E-03   2.99999956E-02
   34.7999992       2.62963083E-02   3.70368734E-03   2.99999956E-02
   34.9000015       2.62963083E-02   3.70368781E-03   2.99999956E-02
   35.0000000       2.62963083E-02   3.70368827E-03   2.99999975E-02
   35.1000023       2.62963083E-02   3.70368874E-03   2.99999975E-02
   35.2000008       2.62963083E-02   3.70368920E-03   2.99999975E-02
   35.2999992       2.62963083E-02   3.70368967E-03   2.99999975E-02
   35.4000015       2.62963083E-02   3.70369013E-03   2.99999975E-02
   35.5000000       2.62963083E-02   3.70369060E-03   2.99999993E-02
   35.6000023       2.62963083E-02   3.70369107E-03   2.99999993E-02
   35.7000008       2.62963083E-02   3.70369153E-03   2.99999993E-02
   35.7999992       2.62963083E-02   3.70369200E-03   3.00000012E-02
   35.9000015       2.62963083E-02   3.70369246E-03   3.00000012E-02
   36.0000000       2.62963083E-02   3.70369293E-03   3.00000012E-02
   36.1000023       2.62963083E-02   3.70369339E-03   3.00000012E-02
   36.2000008       2.62963083E-02   3.70369386E-03   3.00000012E-02
   36.2999992       2.62963083E-02   3.70369409E-03   3.00000031E-02
   36.4000015       2.62963083E-02   3.70369432E-03   3.00000031E-02
   36.5000000       2.62963083E-02   3.70369456E-03   3.00000031E-02
   36.6000023       2.62963083E-02   3.70369479E-03   3.00000031E-02
   36.7000008       2.62963083E-02   3.70369502E-03   3.00000031E-02
   36.7999992       2.62963083E-02   3.70369526E-03   3.00000031E-02
   36.9000015       2.62963083E-02   3.70369549E-03   3.00000031E-02
   37.0000000       2.62963083E-02   3.70369572E-03   3.00000049E-02
   37.1000023       2.62963083E-02   3.70369595E-03   3.00000049E-02
   37.2000008       2.62963083E-02   3.70369619E-03   3.00000049E-02
   37.2999992       2.62963083E-02   3.70369642E-03   3.00000049E-02
   37.4000015       2.62963083E-02   3.70369665E-03   3.00000049E-02
   37.5000000       2.62963083E-02   3.70369689E-03   3.00000049E-02
   37.6000023       2.62963083E-02   3.70369712E-03   3.00000049E-02
   37.7000008       2.62963083E-02   3.70369735E-03   3.00000049E-02
   37.7999992       2.62963083E-02   3.70369758E-03   3.00000049E-02
   37.9000015       2.62963083E-02   3.70369782E-03   3.00000068E-02
   38.0000000       2.62963083E-02   3.70369805E-03   3.00000068E-02
   38.1000023       2.62963083E-02   3.70369828E-03   3.00000068E-02
   38.2000008       2.62963083E-02   3.70369852E-03   3.00000068E-02
   38.2999992       2.62963083E-02   3.70369875E-03   3.00000068E-02
   38.4000015       2.62963083E-02   3.70369898E-03   3.00000068E-02
   38.5000000       2.62963083E-02   3.70369921E-03   3.00000068E-02
   38.6000023       2.62963083E-02   3.70369945E-03   3.00000086E-02
   38.7000008       2.62963083E-02   3.70369968E-03   3.00000086E-02
   38.7999992       2.62963083E-02   3.70369991E-03   3.00000086E-02
