 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   1.01999998       2.88038552E-02   8.92252475E-03   2.27362174E-03   4.00000028E-02
   1.02999997       2.87966002E-02   8.91254470E-03   2.29085633E-03   4.00000028E-02
   1.03999996       2.87894160E-02   8.90257582E-03   2.30800966E-03   4.00000028E-02
   1.04999995       2.87823025E-02   8.89261719E-03   2.32508220E-03   3.99999991E-02
   1.05999994       2.87752580E-02   8.88266973E-03   2.34207418E-03   4.00000028E-02
   1.06999993       2.87682824E-02   8.87273345E-03   2.35898606E-03   3.99999991E-02
   1.07999992       2.87613757E-02   8.86280835E-03   2.37581832E-03   4.00000028E-02
   1.09000003       2.87545379E-02   8.85289349E-03   2.39257119E-03   4.00000028E-02
   1.10000002       2.87477672E-02   8.84298980E-03   2.40924535E-03   4.00000028E-02
   1.11000001       2.87410636E-02   8.83309729E-03   2.42584082E-03   4.00000028E-02
   1.12000000       2.87344269E-02   8.82321596E-03   2.44235829E-03   4.00000028E-02
   1.13000000       2.87278574E-02   8.81334487E-03   2.45879800E-03   4.00000028E-02
   1.13999999       2.87213549E-02   8.80348496E-03   2.47516041E-03   4.00000028E-02
   1.14999998       2.87149195E-02   8.79363623E-03   2.49144575E-03   3.99999991E-02
   1.15999997       2.87085492E-02   8.78379773E-03   2.50765448E-03   3.99999991E-02
   1.16999996       2.87022442E-02   8.77397042E-03   2.52378685E-03   4.00000028E-02
   1.17999995       2.86960043E-02   8.76415428E-03   2.53984332E-03   4.00000028E-02
   1.18999994       2.86898296E-02   8.75434838E-03   2.55582435E-03   4.00000028E-02
   1.19999993       2.86837183E-02   8.74455366E-03   2.57173018E-03   4.00000028E-02
   1.20999992       2.86776721E-02   8.73476919E-03   2.58756126E-03   4.00000028E-02
   1.22000003       2.86716893E-02   8.72499589E-03   2.60331784E-03   4.00000028E-02
   1.23000002       2.86657698E-02   8.71523377E-03   2.61900015E-03   4.00000066E-02
   1.24000001       2.86599137E-02   8.70548189E-03   2.63460889E-03   4.00000028E-02
   1.25000000       2.86541190E-02   8.69574118E-03   2.65014404E-03   4.00000066E-02
   1.25999999       2.86483876E-02   8.68601073E-03   2.66560633E-03   4.00000028E-02
   1.26999998       2.86427177E-02   8.67629144E-03   2.68099573E-03   4.00000028E-02
   1.27999997       2.86371093E-02   8.66658241E-03   2.69631296E-03   4.00000066E-02
   1.28999996       2.86315624E-02   8.65688454E-03   2.71155802E-03   4.00000028E-02
   1.29999995       2.86260769E-02   8.64719693E-03   2.72673136E-03   4.00000028E-02
   1.30999994       2.86206510E-02   8.63752048E-03   2.74183345E-03   4.00000028E-02
   1.31999993       2.86152866E-02   8.62785429E-03   2.75686453E-03   4.00000066E-02
   1.32999992       2.86099818E-02   8.61819927E-03   2.77182483E-03   4.00000066E-02
   1.33999991       2.86047366E-02   8.60855449E-03   2.78671482E-03   4.00000066E-02
   1.35000002       2.85995509E-02   8.59892089E-03   2.80153472E-03   4.00000066E-02
   1.36000001       2.85944231E-02   8.58929753E-03   2.81628501E-03   4.00000066E-02
   1.37000000       2.85893548E-02   8.57968535E-03   2.83096591E-03   4.00000066E-02
   1.38000000       2.85843443E-02   8.57008342E-03   2.84557790E-03   4.00000066E-02
   1.38999999       2.85793915E-02   8.56049173E-03   2.86012096E-03   4.00000066E-02
   1.39999998       2.85744984E-02   8.55091121E-03   2.87459581E-03   4.00000028E-02
   1.40999997       2.85696611E-02   8.54134094E-03   2.88900244E-03   4.00000066E-02
   1.41999996       2.85648815E-02   8.53178184E-03   2.90334132E-03   4.00000066E-02
   1.42999995       2.85601597E-02   8.52223299E-03   2.91761267E-03   4.00000066E-02
   1.43999994       2.85554938E-02   8.51269439E-03   2.93181697E-03   4.00000066E-02
   1.44999993       2.85508838E-02   8.50316696E-03   2.94595445E-03   4.00000066E-02
   1.45999992       2.85463296E-02   8.49364977E-03   2.96002533E-03   4.00000066E-02
   1.46999991       2.85418313E-02   8.48414283E-03   2.97402986E-03   4.00000028E-02
   1.48000002       2.85373889E-02   8.47464707E-03   2.98796850E-03   4.00000066E-02
   1.49000001       2.85330024E-02   8.46516155E-03   3.00184148E-03   4.00000066E-02
   1.50000000       2.85286698E-02   8.45568627E-03   3.01564904E-03   4.00000028E-02
   1.50999999       2.85243914E-02   8.44622217E-03   3.02939164E-03   4.00000066E-02
   1.51999998       2.85201669E-02   8.43676832E-03   3.04306950E-03   4.00000066E-02
   1.52999997       2.85159964E-02   8.42732470E-03   3.05668288E-03   4.00000028E-02
   1.53999996       2.85118800E-02   8.41789134E-03   3.07023223E-03   4.00000028E-02
   1.54999995       2.85078175E-02   8.40846915E-03   3.08371754E-03   4.00000028E-02
   1.55999994       2.85038073E-02   8.39905720E-03   3.09713930E-03   4.00000028E-02
   1.56999993       2.84998510E-02   8.38965550E-03   3.11049772E-03   4.00000066E-02
   1.57999992       2.84959469E-02   8.38026404E-03   3.12379329E-03   4.00000028E-02
   1.58999991       2.84920949E-02   8.37088283E-03   3.13702598E-03   4.00000028E-02
   1.59999990       2.84882952E-02   8.36151280E-03   3.15019628E-03   4.00000028E-02
   1.61000001       2.84845475E-02   8.35215300E-03   3.16330441E-03   4.00000028E-02
